row_index,old_sentiment,new_sentiment,reason,review_text,cleaned_review,issue
141,positive,neutral,neutral_or_mild_mixed,"Chất lượng sản phẩm: khăn tắm, gội, lau mặt châu âu lotus khá dày dặn và mịn màng.. thích hợp cho tắm gội vệ sinh cá nhân sạch srr và thắm hút tốt. Giao hàng nhanh chóng đóng gói cẩn thận shipper thân thiện cho shop 5 sao 1:00",chất lượng san pham khăn tắm gội lau mặt châu âu lotus khá dày dặn và mịn màng thích hợp cho tắm gội vệ sinh cá nhân sạch srr và thắm hút tốt giao hàng nhanh chóng đóng gói cẩn thận shipper thân thiện cho shop 5 sao 1 00,no_issue
148,positive,neutral,neutral_or_mild_mixed,"Chất lượng sản phẩm: tot Đúng với mô tả: dung Khăn tương đối dày dặn, màu sắc đẹp. Nói chung hài lòng. Sẽ tiếp tục ủng ho shop 0:12",chất lượng san pham tot đúng với mô tả dung khăn tương đối dày dặn màu sắc đẹp nói chung hài lòng sẽ tiếp tục ủng ho shop 0 12,no_issue
158,positive,neutral,neutral_or_mild_mixed,"Thấm hút: Tot Vải: Mem mai Hàng đẹp, đúng mô tả, chất liệu khăn dày dặn nhưng vẫn có độ mềm mại, đóng gói cẩn thận . Giao hàng nhanh 0:12 0:04 1 vmh2309",thấm hút tot vải mem mai hàng đẹp đúng mô tả chất liệu khăn dày dặn nhưng vẫn có độ mềm mại đóng gói cẩn thận giao hàng nhanh 0 12 0 04 1 vmh2309,no_issue
165,positive,neutral,neutral_or_mild_mixed,Đúng với mô tả: đúng Chất lượng sản phẩm: cotton Chất khăn dày dặn màu sắc đẹp. Thắm hút nước toits dùng lâu mặt rất mềm êm. Tôi rất hài lòng với sản phẩm và giá săn sale quá đỉnh 9k / cái. Biết vậy tôi mua vài chục cái dùng dần 0:18,đúng với mô tả đúng chất lượng san pham cotton chất khăn dày dặn màu sắc đẹp thắm hút nước toits dùng lâu mặt rất mềm êm tôi rất hài lòng với san pham và giá săn sale quá đỉnh 9k cái biết vậy tôi mua vài chục cái dùng dần 0 18,no_issue
168,positive,neutral,neutral_or_mild_mixed,"Giá rẻ mà chất lượng cũng được, mặc dù k quá dày dặn Nhìn lượt bán khủng nên mua thử Đóng gói cẩn thận và chỉn chu 0:12",giá rẻ mà chất lượng cũng duoc mặc dù khong quá dày dặn nhìn lượt bán khủng nên mua thử đóng gói cẩn thận và chỉn chu 0 12,no_issue
176,positive,negative,clear_negative_issue,"Thấm hút: nhanh Vải: cotton mềm Mfu sắc đẹp chất liệu vải êm mềm ,lúc lau mặt k bị rát khó chịu vải dày dặn mình rất thik , được gói trong bọc rất tiện lợi khi mag đi hay tặng cho người khác 0:05",thấm hút nhanh vải cotton mềm mfu sắc đẹp chất liệu vải êm mềm lúc lau mặt khong bị rát khó chịu vải dày dặn mình rất thik duoc gói trong bọc rất tiện lợi khi mag đi hay tặng cho người khác 0 05,no_issue
206,positive,neutral,neutral_or_mild_mixed,"Hiệu năng: ok Chụp ảnh: ok Màn hình: ok Giao hàng nhanh, đóng gói siêu cẩn thận, tem niêm phong dán kĩ càng. Shop uy tín nên rất yên tâm!",hiệu năng ok chụp ảnh ok màn hình ok giao hàng nhanh đóng gói siêu cẩn thận tem niêm phong dán kĩ càng shop uy tín nên rất yên tâm,no_issue
228,neutral,positive,strong_positive_or_good_value,đẹp lắm chính hãng nha mn Em tư vấn trước tránh trường hợp khách gửi quần đến mà kh đủ vải làm lại mất công 2 bên ạ: - Quần ống rộng và độ rộng phải trên 22cm mới may được chân váy dài. - Quần bó không may được chân váy ngắn và dài luôn ạ,đẹp lắm chính hãng nha moi nguoi em tư vấn trước tránh trường hợp khách gửi quần đến mà khong đủ vải làm lại mất công 2 bên ạ quần ống rộng và độ rộng phải trên 22cm mới may duoc chân váy dài quần bó khong may duoc chân váy ngắn và dài luôn ạ,spam_irrelevant
231,positive,neutral,neutral_or_mild_mixed,"Hiệu năng: m Đẹp, sắc nét. Giao hàng nhanh. Có tem dán khắp nơi nên yên tâm.",hiệu năng m đẹp sắc nét giao hàng nhanh có tem dán khắp nơi nên yên tâm,no_issue
237,positive,neutral,neutral_or_mild_mixed,"Hàng đẹp chất lượng phù hợp với giá tiền , nói chung là tạm ổn sẽ ủng hộ thêm nhiều 0:32",hàng đẹp chất lượng phù hợp với giá tiền nói chung là tạm ổn sẽ ủng hộ thêm nhiều 0 32,no_issue
245,negative,neutral,neutral_or_mild_mixed,"Mua hàng 4/4 và đợi đúng 5-6 ngày mới nhận được, lâu quá. Mà trên app hẹn giao hàng ngày 7-4 mà không thấy đâu. 0:27",mua hàng 4 4 và đợi đúng 5 6 ngày mới nhận duoc lâu quá mà trên app hẹn giao hàng ngày 7 4 mà khong thấy đâu 0 27,shipping_delivery
255,positive,neutral,neutral_or_mild_mixed,Nói chung là hài lòng. Mình mua cho vợ nên vợ thích là dc. Mua hàng chính hãng từ Viettel nên yên tâm. Quay video khui hộp theo hướng dẫn là okie nha mn 0:06,nói chung là hài lòng mình mua cho vợ nên vợ thích là duoc mua hàng chính hãng từ viettel nên yên tâm quay video khui hộp theo hướng dẫn là okie nha moi nguoi 0 06,no_issue
291,positive,neutral,neutral_or_mild_mixed,"Hiệu suất: om Chụp ảnh: tot Màn hình: dep Chào hè rực rỡ tại Sun World Hà Nam – thiên đường giải nhiệt ngay giữa lòng đô thị! Sóng nước sôi động – trò chơi đỉnh cao – check-in sống ảo cực chất Chỉ cách trung tâm Phủ Lý vài phút, cư dân Sun Urban City tận hưởng đặc quyền ‘resort mỗi ngày’",hiệu suất om chụp ảnh tot màn hình dep chào hè rực rỡ tại sun world hà nam thiên đường giải nhiệt ngay giữa lòng đô thị sóng nước sôi động trò chơi đỉnh cao check in sống ảo cực chất chỉ cách trung tâm phủ lý vài phút cư dân sun urban city tận hưởng đặc quyền resort mỗi ngày,no_issue
292,positive,neutral,neutral_or_mild_mixed,"Hiệu suất: on Chụp ảnh: tot Màn hình: dep Chào hè rực rỡ tại Sun World Hà Nam – thiên đường giải nhiệt ngay giữa lòng đô thị! Sóng nước sôi động – trò chơi đỉnh cao – check-in sống ảo cực chất Chỉ cách trung tâm Phủ Lý vài phút, cư dân Sun Urban City tận hưởng đặc quyền ‘resort mỗi ngày’",hiệu suất on chụp ảnh tot màn hình dep chào hè rực rỡ tại sun world hà nam thiên đường giải nhiệt ngay giữa lòng đô thị sóng nước sôi động trò chơi đỉnh cao check in sống ảo cực chất chỉ cách trung tâm phủ lý vài phút cư dân sun urban city tận hưởng đặc quyền resort mỗi ngày,no_issue
300,neutral,negative,clear_negative_issue,"Hiệu năng: muot Chụp ảnh: sac net Màn hình: sac net Thời gian giao hàng nhanh, tuy nhiên sau khi mở máy ngoại quan bị 3 vết dăm, rất buồn vì máy k đc đẹp keng, hi vọng sau thời gian dùng sẽ ổn",hiệu năng muot chụp ảnh sac net màn hình sac net thời gian giao hàng nhanh tuy nhiên sau khi mở máy ngoại quan bị 3 vết dăm rất buồn vì máy khong duoc đẹp keng hi vọng sau thời gian dùng sẽ ổn,product_quality
303,neutral,negative,clear_negative_issue,"Sau 5 ngày sử dụng mình xin được đánh giá lại: 1- kết nối khá nhanh. 2- có thể nghe 1 tai và 1 tai sạc thoải mái giúp nghe đc nhiều thời gian hơn. 3- cảm nhận cá nhân nghe khá nhỏ mình nghe mức 70-80% 4- sạc đầy tai màu trắng, pin yếu màu đỏ như ảnh. 0:10 4 p*****3",sau 5 ngày sử dụng mình xin duoc đánh giá lại 1 kết nối khá nhanh 2 có thể nghe 1 tai và 1 tai sạc thoải mái giúp nghe duoc nhiều thời gian hơn 3 cảm nhận cá nhân nghe khá nhỏ mình nghe mức 70 80 4 sạc đầy tai màu trắng pin yếu màu đỏ như ảnh 0 10 4 p 3,no_issue
323,neutral,negative,clear_negative_issue,Chất lượng sản phẩm: tẠm ổn thui Tính năng nổi bật: màu đẹp Mình test thử r nói thật hơi khó xài- việc tắt bật tai nghe vẫn bất tiện mn ạ- nhiều khi tai nghe tự kết nối vs dt r tự hao pin- mình sạc tai nghe mà vô điện ko đều- 1 bên tai thì full điện- 1 bên còn lại lúc nào cũng pin yếu- rồi á nhiều khi tai nghe tiếng bị rè ko rõ- chất lượng ko ổn định mn ạ 0:50 1 mikayuukio,chất lượng san pham tạm ổn thui tính năng nổi bật màu đẹp mình test thử r nói thật hơi khó xài việc tắt bật tai nghe vẫn bất tiện moi nguoi ạ nhiều khi tai nghe tự kết nối vs dt r tự hao pin mình sạc tai nghe mà vô điện khong đều 1 bên tai thì full điện 1 bên còn lại lúc nào cũng pin yếu rồi á nhiều khi tai nghe tiếng bị rè khong rõ chất lượng khong ổn định moi nguoi ạ 0 50 1 mikayuukio,product_quality
327,negative,neutral,neutral_or_mild_mixed,"Tính năng nổi bật: nhỏ gọn So với mẫu cũ thì mẫu mới này âm thanh nhỏ hơn rất nhiều dù cùng một mức độ âm thanh nhưng mẫu cũ nghe rõ và to hơn còn mẫu mới thì âm thanh nghe không to bằng. Vỏ hộp mẫu mới nhìn cũng không sang bằng mẫu cũ. Đúng là cái gì mới ra cũng tốt còn về sau thì giảm chất lượng đi rồi. Còn về đóng gói thì sơ sài, gói cho mình duy nhất một cái túi đen mà k chống sốc hay gì hết dù ship từ nước khác về. 0:49",tính năng nổi bật nhỏ gọn so với mẫu cũ thì mẫu mới này âm thanh nhỏ hơn rất nhiều dù cùng một mức độ âm thanh nhưng mẫu cũ nghe rõ và to hơn còn mẫu mới thì âm thanh nghe khong to bằng vỏ hộp mẫu mới nhìn cũng khong sang bằng mẫu cũ đúng là cái gì mới ra cũng tốt còn về sau thì giảm chất lượng đi rồi còn về đóng gói thì sơ sài gói cho mình duy nhất một cái túi đen mà khong chống sốc hay gì hết dù ship từ nước khác về 0 49,product_quality
328,neutral,negative,clear_negative_issue,"Chất lượng sản phẩm: tạm được Tính năng nổi bật: nghe nhạc Đau tai, độ bền chưa đánh giá được, pin trâu 0:04",chất lượng san pham tạm duoc tính năng nổi bật nghe nhạc đau tai độ bền chua đánh giá duoc pin trâu 0 04,product_quality
334,negative,neutral,neutral_or_mild_mixed,"Chất lượng sản phẩm: Bình thường Hộp sạc quá yếu, xài rất sợ bị gãy :(((. Pin thì không quá trâu đâu thấy nó bình thường à, nếu 1 ngày bạn xài 2,3 tiếng thì OK còn người hay đi du lịch mà vừa đi vừa nghe nhạc thì nên đem theo xạc dự phòng or dây sạc. - Âm thanh dành cho bạn nào không quá kén chất âm, mà chỉ để đeo nghe tiếng thôi cũng được 🙂. Không biết mấy bạn sao chứ mình sạc full xài trong 3 ngày là sạc rồi đó là mình ở nhà ko đi chơi đó nghen. Còn đi chơi thì đeo 1 ngày là hết pin trong ngày luôn 😁 Tai nghe chỉ dành để nghe được thôi. Nó chỉ ở mức trung bình còn muốn để nghe nhạc hay thì nên mua Air pod hoặc tai nghe của LG để nghe những bản nhạc sâu lắng. 0:39 3 thunina2607",chất lượng san pham binh thuong hộp sạc quá yếu xài rất sợ bị gãy pin thì khong quá trâu đâu thấy nó binh thuong à nếu 1 ngày bạn xài 2 3 tiếng thì ok còn người hay đi du lịch mà vừa đi vừa nghe nhạc thì nên đem theo xạc dự phòng or dây sạc âm thanh dành cho bạn nào khong quá kén chất âm mà chỉ để đeo nghe tiếng thôi cũng duoc khong biết mấy bạn sao chứ mình sạc full xài trong 3 ngày là sạc rồi đó là mình ở nhà khong đi chơi đó nghen còn đi chơi thì đeo 1 ngày là hết pin trong ngày luôn tai nghe chỉ dành để nghe duoc thôi nó chỉ ở mức trung bình còn muốn để nghe nhạc hay thì nên mua air pod hoặc tai nghe của lg để nghe những bản nhạc sâu lắng 0 39 3 thunina2607,product_quality
344,negative,neutral,neutral_or_mild_mixed,"Chất lượng sản phẩm: bình thường Màu xinh, âm thanh nghe bình thường, ko có độ bass. 0:09",chất lượng san pham binh thuong màu xinh âm thanh nghe binh thuong khong có độ bass 0 09,no_issue
347,positive,neutral,neutral_or_mild_mixed,thay vì mua airpod fake thì mua em này sử dụng ngon hơn. có điều đợi về hơi lâu. với lại sạc mà cứ hiện đèn hoài rồi không biết lúc nào hết lúc nào đầy pin 0:10 1 c*****7,thay vì mua airpod fake thì mua em này sử dụng ngon hơn có điều đợi về hơi lâu với lại sạc mà cứ hiện đèn hoài rồi khong biết lúc nào hết lúc nào đầy pin 0 10 1 c 7,no_issue
355,neutral,negative,clear_negative_issue,"Tai nghe màu đẹp, nhỏ gọn. Kết nối bluetooth nhanh. Nhưng âm thanh ko được tốt lắm, cảm thấy hơi nhỏ. Mình đọc hướng dẫn thì thấy nói đèn đỏ là pin <20%, nhưng mà lúc nào mở lên cũng thấy đèn đỏ, ko hiểu sao. 0:15",tai nghe màu đẹp nhỏ gọn kết nối bluetooth nhanh nhưng âm thanh khong duoc tốt lắm cảm thấy hơi nhỏ mình đọc hướng dẫn thì thấy nói đèn đỏ là pin 20 nhưng mà lúc nào mở lên cũng thấy đèn đỏ khong hiểu sao 0 15,product_quality
379,positive,neutral,neutral_or_mild_mixed,"Âm thanh nhỏ nhưng nghe cũng ổn, nhược điểm là mình chả biết khi nào hết pin 0:04",âm thanh nhỏ nhưng nghe cũng ổn nhược điểm là mình chả biết khi nào hết pin 0 04,product_quality
381,negative,neutral,neutral_or_mild_mixed,"Mình đặt là lần t2, lần này giao cũng ko nhanh lắm tầm 1 tuần mới nhận đc hàng. Nhma đỡ hơn lần trc vì lần đầu đặt tận 2 tháng mà vẫn chưa thấy giao đến, rồi bị hủy luôn vì làm mất hàng của mình. Bắt đầu hơi có ác cảm từ đấy nên cho 4 sao 0:05",mình đặt là lần t2 lần này giao cũng khong nhanh lắm tầm 1 tuần mới nhận duoc hàng nhma đỡ hơn lần trc vì lần đầu đặt tận 2 tháng mà vẫn chua thấy giao đến rồi bị hủy luôn vì làm mất hàng của mình bắt đầu hơi có ác cảm từ đấy nên cho 4 sao 0 05,shipping_delivery
397,neutral,negative,clear_negative_issue,"Tai nghe ổn trong tầm giá, không phải nói là khá rẻ . Chất lượng âm thanh ok nhưng cảm ứng thà không có còn hơn. Sau khi gần 1 tuần sử dụng thì thấy âm lượng quá to mặc dù đã chỉnh ở mức âm bé nhất nên nghe lâu dẫn đến đau tai. 0:05 1 marjsan92",tai nghe ổn trong tầm giá khong phải nói là khá rẻ chất lượng âm thanh ok nhưng cảm ứng thà khong có còn hơn sau khi gần 1 tuần sử dụng thì thấy âm lượng quá to mặc dù đã chỉnh ở mức âm bé nhất nên nghe lâu dẫn đến đau tai 0 05 1 marjsan92,product_quality
398,neutral,negative,clear_negative_issue,"Tai nghe ổn, tuy nhiên kết nối không ổn định, lúc kết nối 1 tai nghe được, 1 tai nghe không được, phải kết nối lại vài lần thì mới nghe dc cả 2 tai Giao hàng hơi lâu, nhưng màu sắc kiểu dáng ok 0:07",tai nghe ổn tuy nhiên kết nối khong ổn định lúc kết nối 1 tai nghe duoc 1 tai nghe khong duoc phải kết nối lại vài lần thì mới nghe duoc cả 2 tai giao hàng hơi lâu nhưng màu sắc kiểu dáng ok 0 07,product_quality
409,negative,neutral,neutral_or_mild_mixed,"loa binh thường , ko xuất sắc mua dc giá 209k nên tìm sản phẩm khác 0:08",loa binh thường khong xuất sắc mua duoc giá 209k nên tìm san pham khác 0 08,product_quality
410,neutral,negative,clear_negative_issue,"Tai nghe 5 ngày là nhận được rồi, nghe khá ok, nhưng có lúc nghe được 1 bên, sạc pin rồi mà nghe được có tí hết pin 0:09",tai nghe 5 ngày là nhận duoc rồi nghe khá ok nhưng có lúc nghe duoc 1 bên sạc pin rồi mà nghe duoc có tí hết pin 0 09,product_quality
418,negative,neutral,neutral_or_mild_mixed,"Hơi thất vọng vì chất lượng âm thanh khá xu. Bật max loa mà nghe nhỏ xíu, lúc đầu mình tưởng do hết pin hay gì đó mà nghe nhỏ nhưng sau khi sạc đầy và test lại vài lần đều như vậy. Chắc do mình mua lúc sp giảm giá hơi mạnh nên chất lượng cũng giảm chăng??? 0:47",hơi thất vọng vì chất lượng âm thanh khá xu bật max loa mà nghe nhỏ xíu lúc đầu mình tưởng do hết pin hay gì đó mà nghe nhỏ nhưng sau khi sạc đầy và test lại vài lần đều như vậy chắc do mình mua lúc san pham giảm giá hơi mạnh nên chất lượng cũng giảm chăng 0 47,product_quality
432,neutral,positive,received_enough_or_matches_description,Đúng với mô tả: đúng Màu sắc: 5 màu Chất liệu: oke mềm Dép đi mềm êm chân lắm nha xó năm màu màu nào cũng ok dc hết á nha 0:05 1 p*****5,đúng với mô tả đúng màu sắc 5 màu chất liệu oke mềm dép đi mềm êm chân lắm nha xó năm màu màu nào cũng ok duoc hết á nha 0 05 1 p 5,no_issue
446,positive,neutral,neutral_or_mild_mixed,"Chất liệu: Cao su Đúng với mô tả: Đúng 3 màu Màu sắc: Đa dạng Trong tầm tiền này thì kh đòi hỏi thêm được gì. Chất lượng sản phẩm ở mức ổn, dép kh quá là mỏng, độ dày dặn vừa phải để đi trong nhà thì khá là thoải mái. 0:06",chất liệu cao su đúng với mô tả đúng 3 màu màu sắc đa dạng trong tầm tiền này thì khong đòi hỏi thêm duoc gì chất lượng san pham ở mức ổn dép khong quá là mỏng độ dày dặn vừa phải để đi trong nhà thì khá là thoải mái 0 06,no_issue
448,positive,neutral,neutral_or_mild_mixed,"Màu sắc: hồng Chất liệu: ko biết Dép nhẹ,êm,thích hợp mang trong nhà, nhà vệ sinh sạch chân màu sắc nhẹ nhàng so với giá tiền quá rẻ sẽ tiếp tục ủng hộ shop 0:18 1 nucuoi_trongmate_9x",màu sắc hồng chất liệu khong biết dép nhẹ êm thích hợp mang trong nhà nhà vệ sinh sạch chân màu sắc nhẹ nhàng so với giá tiền quá rẻ sẽ tiếp tục ủng hộ shop 0 18 1 nucuoi trongmate 9x,no_issue
468,positive,neutral,neutral_or_mild_mixed,"Độ êm: nhẹ êm thoải mái Chất liệu: cao su mềm dẻo đi êm thích lắm nha mềm dẻo êm chân nhỏ nhẹ đi trong nhà rất tiện Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.Chạm và giữ một đoạn để ghim đoạn đó. Các đoạn đã bỏ ghim sẽ bị xóa sau 1 giờ.Nhấn vào một đoạn để dán vào hộp văn bản. 0:08",độ êm nhẹ êm thoải mái chất liệu cao su mềm dẻo đi êm thích lắm nha mềm dẻo êm chân nhỏ nhẹ đi trong nhà rất tiện chào mừng bạn đến với bảng nhớ tạm của gboard bất kỳ văn bản nào bạn sao chép sẽ duoc lưu tại đây chạm và giữ một đoạn để ghim đoạn đó các đoạn đã bỏ ghim sẽ bị xóa sau 1 giờ nhấn vào một đoạn để dán vào hộp văn bản 0 08,no_issue
482,positive,neutral,reward_or_spam_neutral,"Chất liệu: cao su Đúng với mô tả: giống hình Màu sắc: hồng Hình ảnh mang tính chất nhận xu dép đẹp , đi êm và rất nhẹ, sẽ ủng hộ shop tiếp nếu cần mua 1:01",chất liệu cao su đúng với mô tả giống hình màu sắc hồng hình ảnh mang tính chất nhận xu dép đẹp đi êm và rất nhẹ sẽ ủng hộ shop tiếp nếu cần mua 1 01,no_issue
501,positive,neutral,neutral_or_mild_mixed,"Chất liệu: nhua Màu sắc: nau Uiii săn được giá rẻ mà dép như vầy là quá ok, 10đ, êm nhẹ, mang trong nhà tuyệt vời luôn, mang ở ngoài cũng được. Sẽ ủng hộ shop tiếp ( số đo thì mình chỉ nhắm ước chừng thôi à) 0:04",chất liệu nhua màu sắc nau uiii săn duoc giá rẻ mà dép như vầy là quá ok 10đ êm nhẹ mang trong nhà tuyệt vời luôn mang ở ngoài cũng duoc sẽ ủng hộ shop tiếp số đo thì mình chỉ nhắm ước chừng thôi à 0 04,no_issue
521,positive,neutral,neutral_or_mild_mixed,"Màu sắc: nhu mo ta Đúng với mô tả: dung Chất liệu: xop Dép đi rất nhẹ, êm, mang nhà tắm chắc trượt dữ lắm. Săn sales giá rẻ, mọi người nên mua mang trong nhà cho ấm chân hay mang chơi chơi cũng được. Phù hợp làm dép khách sạn 0:05",màu sắc nhu mo ta đúng với mô tả dung chất liệu xop dép đi rất nhẹ êm mang nhà tắm chắc trượt dữ lắm săn sales giá rẻ moi nguoi nên mua mang trong nhà cho ấm chân hay mang chơi chơi cũng duoc phù hợp làm dép khách sạn 0 05,no_issue
539,neutral,positive,received_enough_or_matches_description,"Chất liệu: xốp Màu sắc: xanh Đúng với mô tả: mauf xanh Giao hàng nhanh. Sp phù hợp với giá tiền , đi êm chân. Cảm ơn shop 0:09",chất liệu xốp màu sắc xanh đúng với mô tả mauf xanh giao hàng nhanh san pham phù hợp với giá tiền đi êm chân cảm ơn shop 0 09,no_issue
588,neutral,negative,clear_negative_issue,"Hai cái, một cái kết nối cài đặt rất nhanh, một cái thì đổ mồ hôi rất lâu mới kết nối được, cứ báo không kết nối được wifi mãi. Nhưng cuối cùng cũng ổn",hai cái một cái kết nối cài đặt rất nhanh một cái thì đổ mồ hôi rất lâu mới kết nối duoc cứ báo khong kết nối duoc wifi mãi nhưng cuối cùng cũng ổn,product_quality
601,negative,neutral,neutral_or_mild_mixed,"Hình ảnh ở mức tạm được, ko nét cho lắm dù gần modem wifi . dc cái dễ lắp và cài đặt. 0:08",hình ảnh ở mức tạm duoc khong nét cho lắm dù gần modem wifi duoc cái dễ lắp và cài đặt 0 08,product_quality
619,positive,neutral,neutral_or_mild_mixed,Cam dùng tạm ổn.chưa xảy ra lỗi gì.nói chung đáng tiền 🤑,cam dùng tạm ổn chua xảy ra lỗi gì nói chung đáng tiền,no_issue
623,negative,neutral,neutral_or_mild_mixed,"Giao hàng quá chậm, đặt cả tuần mới nhận được hàng",giao hàng quá chậm đặt cả tuần mới nhận duoc hàng,shipping_delivery
