review_id,review_text,sentiment_label,issue_label,is_multi_topic,secondary_issue,comment_type,source,processed_text
24,"Độ êm: dép nhẹ nhàng. Đi êm chân Chất liệu: nhựa cao su mềm dẻo, thân thiện môi trường Shop đóng gói cẩn thận, giao hàng nhanh",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm dép nhẹ nhàng đi êm chân chất liệu nhựa cao su mềm dẻo thân thiện môi trường shop đóng gói cẩn thận giao hàng nhanh
25,"Chất liệu: Cao su Đúng với mô tả: Đúng 3 màu Màu sắc: Đa dạng Trong tầm tiền này thì kh đòi hỏi thêm được gì. Chất lượng sản phẩm ở mức ổn, dép kh quá là mỏng, độ dày dặn vừa phải để đi trong nhà thì khá là thoải mái",positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,chất liệu cao su đúng với mô tả đúng 3 màu màu sắc đa dạng trong tầm tiền này thì kh đòi hỏi thêm được gì chất lượng sản phẩm ở mức ổn dép kh quá là mỏng độ dày dặn vừa phải để đi trong nhà thì khá là thoải mái
26,Màu sắc: Màu nâu Đúng với mô tả: Đúng như mô tả Chất liệu: Xốp siêu nhẹ Hài lòng với sẵn phẩm này. Shop đóng gói cẩn thận người giao tận tình. Giao hàng nhanh,positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,màu sắc màu nâu đúng với mô tả đúng như mô tả chất liệu xốp siêu nhẹ hài lòng với sẵn phẩm này shop đóng gói cẩn thận người giao tận tình giao hàng nhanh
27,"Màu sắc: hồng Chất liệu: ko biết Dép nhẹ,êm,thích hợp mang trong nhà, nhà vệ sinh sạch chân màu sắc nhẹ nhàng so với giá tiền quá rẻ sẽ tiếp tục ủng hộ shop",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,màu sắc hồng chất liệu ko biết dép nhẹ êm thích hợp mang trong nhà nhà vệ sinh sạch chân màu sắc nhẹ nhàng so với giá tiền quá rẻ sẽ tiếp tục ủng hộ shop
28,Chất liệu: dép đẹp luôn Đúng với mô tả: đi êm chân mà k bị trơn nha nên mua nha cả nhà Màu sắc: màu đẹp nữa.minh mua theo com bo 5 đôi giá hời 105k rất chi la ưng.sẽ ung hộ shop dài dài nhá. Chuẩn size nha ca nhà,positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,chất liệu dép đẹp luôn đúng với mô tả đi êm chân mà k bị trơn nha nên mua nha cả nhà màu sắc màu đẹp nữa minh mua theo com bo 5 đôi giá hời 105k rất chi la ưng sẽ ung hộ shop dài dài nhá chuẩn size nha ca nhà
29,"Độ êm: Êm, thoải mái Chất liệu: Cao su nhẹ chân Màu sắc: Màu nâu giống mô tả Giá hợp lý so với chất lượng, mang rất nhẹ rất êm chân, mới mua chưa xài lâu nên độ bền thì mình chưa đánh giá được. Ưng! 🫶🏻",positive,no_issue,yes,damaged_defective,free_text_review,shopee_real_scraped,độ êm êm thoải mái chất liệu cao su nhẹ chân màu sắc màu nâu giống mô tả giá hợp lý so với chất lượng mang rất nhẹ rất êm chân mới mua chưa xài lâu nên độ bền thì mình chưa đánh giá được ưng
30,Giao hàng nhanh shiper thân thiện lắm ạ mặt déo nhìn cũng ok 26k như v là rất ok lun r ạ lần s sẽ ủng hộ tiếp ạ,positive,no_issue,no,,free_text_review,shopee_real_scraped,giao hàng nhanh shiper thân thiện lắm ạ mặt déo nhìn cũng ok 26k như v là rất ok lun r ạ lần s sẽ ủng hộ tiếp ạ
31,"Độ êm: êm Chất liệu: xốp Màu sắc: nâu tây Mk rất ưng sản phẩm , shop giao đủ số lượng, số size đúng màu Dép đi rất nhẹ và êm Mk đc áp vochouer siêu rẻ M.n nên mua trải nghiệm cùng mk nha",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm êm chất liệu xốp màu sắc nâu tây mk rất ưng sản phẩm shop giao đủ số lượng số size đúng màu dép đi rất nhẹ và êm mk đc áp vochouer siêu rẻ m n nên mua trải nghiệm cùng mk nha
32,"Dép đi trong nhà chống trơn trượt là loại dép có đế cao su hoặc nhựa (EVA, PVC) thiết kế gai ma sát, giúp an toàn trên sàn ướt, đồng thời có thể chống thấm nước, thoáng khí, êm chân, nhẹ, và nhiều loại còn có khả năng massage, giữ ấm, khử mùi, phù hợp để đi trong nhà, nhà tắm, văn phòng, với các chất liệu phổ biến như cao su, nhựa dẻo, xốp nhẹ, và vải bông, đáp ứng nhu cầu đa dạng từ sự thoải mái đến vệ sinh. Các loại phổ biến & đặc điểm nổi bật: Dép nhựa EVA/PVC lỗ thoáng khí: Đặc điểm: Siêu nhẹ, bền, chống nước, mau khô, có lỗ thoáng khí (giảm mùi hôi), đế chống trượt hiệu quả, êm chân. Phù hợp: Nhà tắm, nhà vệ sinh, nhà có trẻ nhỏ",positive,no_issue,yes,damaged_defective,free_text_review,shopee_real_scraped,dép đi trong nhà chống trơn trượt là loại dép có đế cao su hoặc nhựa eva pvc thiết kế gai ma sát giúp an toàn trên sàn ướt đồng thời có thể chống thấm nước thoáng khí êm chân nhẹ và nhiều loại còn có khả năng massage giữ ấm khử mùi phù hợp để đi trong nhà nhà tắm văn phòng với các chất liệu phổ biến như cao su nhựa dẻo xốp nhẹ và vải bông đáp ứng nhu cầu đa dạng từ sự thoải mái đến vệ sinh các loại phổ biến đặc điểm nổi bật dép nhựa eva pvc lỗ thoáng khí đặc điểm siêu nhẹ bền chống nước mau khô có lỗ thoáng khí giảm mùi hôi đế chống trượt hiệu quả êm chân phù hợp nhà tắm nhà vệ sinh nhà có trẻ nhỏ
33,Độ êm: đi rất em chân Chất liệu: nhựa xốp Màu sắc: màu lâu Hàng đẹp giá rẻ đi êm chống trơn trượt tốt sẽ ủng hộ shop lâu dài,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,độ êm đi rất em chân chất liệu nhựa xốp màu sắc màu lâu hàng đẹp giá rẻ đi êm chống trơn trượt tốt sẽ ủng hộ shop lâu dài
34,Độ êm: mang êm chân Chất liệu: ok Màu sắc: đep Giao hàng nhanh nhiệt tình dép đi êm chân màu đẹp mình sẽ ủng hộ shop tiếp. Shop nhiệt tình dễ thương,positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm mang êm chân chất liệu ok màu sắc đep giao hàng nhanh nhiệt tình dép đi êm chân màu đẹp mình sẽ ủng hộ shop tiếp shop nhiệt tình dễ thương
35,"Độ êm: em Chất liệu: tot Màu sắc: ndnsbs Giao hàng nhanh, đóng gói cẩn thận. Sản phẩm đúng mô tả, dùng ổn áp trong tầm giá. Sẽ ủng hộ shop lần sau 👍",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm em chất liệu tot màu sắc ndnsbs giao hàng nhanh đóng gói cẩn thận sản phẩm đúng mô tả dùng ổn áp trong tầm giá sẽ ủng hộ shop lần sau
36,Độ êm: dep siêu êm luôn Chất liệu: cao su Màu sắc: trắng giao hàng hanh. dép đi êm chân. siêu nhẹ ý săn được giá đẹp nữa thì 10₫ thôi,positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm dep siêu êm luôn chất liệu cao su màu sắc trắng giao hàng hanh dép đi êm chân siêu nhẹ ý săn được giá đẹp nữa thì 10 thôi
37,"Độ êm: em, thoai mai lam luon Chất liệu: nhua cao su mem lam luon moi nguoi oi Màu sắc: Màu rất đẹp đáng mua Quá xứng đáng với giá tiền đáng mua lắm ạ",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,độ êm em thoai mai lam luon chất liệu nhua cao su mem lam luon moi nguoi oi màu sắc màu rất đẹp đáng mua quá xứng đáng với giá tiền đáng mua lắm ạ
38,"Độ êm: Sơn cỏ hay sơn cỏ giá rẻ là dòng sơn được sản xuất tại thị trường Việt Nam và không có thương hiệu. Những loại sơn này thường được sử dụng với những công trình không yêu cầu kỹ thuật cao ví dụ như phòng trọ, nhà xưởng, nhà cho thuê…",positive,no_issue,yes,damaged_defective,free_text_review,shopee_real_scraped,độ êm sơn cỏ hay sơn cỏ giá rẻ là dòng sơn được sản xuất tại thị trường việt nam và không có thương hiệu những loại sơn này thường được sử dụng với những công trình không yêu cầu kỹ thuật cao ví dụ như phòng trọ nhà xưởng nhà cho thuê
39,"Đúng với mô tả: xinh Chất liệu: nhựa Màu sắc: đen, xám dép đẹp, màu đen, màu xám, rất đẹp, tui rất thích, sẽ mua vào lần sau, và sẽ giới thiệu cho bạn bè cũng mua",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,đúng với mô tả xinh chất liệu nhựa màu sắc đen xám dép đẹp màu đen màu xám rất đẹp tui rất thích sẽ mua vào lần sau và sẽ giới thiệu cho bạn bè cũng mua
40,"Màu sắc: nau Chất liệu: caossu Đúng với mô tả: dung mo ta Mua 3doi, 2 size khác nhau, nhug shop ship cả 3 đôi giống size nhau luôn! Nhung thôi, di trong nhà cũng ok Ship nhanh chóng Chất lượng ok",positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,màu sắc nau chất liệu caossu đúng với mô tả dung mo ta mua 3doi 2 size khác nhau nhug shop ship cả 3 đôi giống size nhau luôn nhung thôi di trong nhà cũng ok ship nhanh chóng chất lượng ok
41,"Màu sắc: 10/10 Chất liệu: 10/10 Đúng với mô tả: 10/10 Mua kb bnh đôi rùi đấy, tui chỉ là mua thêm để đi thui với có màu xanh mới mới nên mua thêm màu xanh hihi",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,màu sắc 10 10 chất liệu 10 10 đúng với mô tả 10 10 mua kb bnh đôi rùi đấy tui chỉ là mua thêm để đi thui với có màu xanh mới mới nên mua thêm màu xanh hihi
42,Độ êm: dép mang rất nhẹ và êm ái Chất liệu: chất liệu xốp Màu sắc: màu nâu Shop gói hàng cẩn thận giao hàng nhanh chóng mua với giá hời nên rất là hài lòng,positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm dép mang rất nhẹ và êm ái chất liệu chất liệu xốp màu sắc màu nâu shop gói hàng cẩn thận giao hàng nhanh chóng mua với giá hời nên rất là hài lòng
43,Độ êm: Dép mang êm.đẹp.mềm lắm Chất liệu: Chất nhựa cao su dẻo Màu sắc: Màu sắc đa dạng.giống hình ảnh Mua về nhìn ưng lắm. Êm mềm đẹp. Đi thoải mái,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,độ êm dép mang êm đẹp mềm lắm chất liệu chất nhựa cao su dẻo màu sắc màu sắc đa dạng giống hình ảnh mua về nhìn ưng lắm êm mềm đẹp đi thoải mái
44,"Độ êm: êm , nhẹ Chất liệu: cao su mềm dẻo Màu sắc: trắng Hình ảnh chỉ mang tính chất nhận xu giao hàng nhanh chóng đóng gói cẩn thận nên mua",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm êm nhẹ chất liệu cao su mềm dẻo màu sắc trắng hình ảnh chỉ mang tính chất nhận xu giao hàng nhanh chóng đóng gói cẩn thận nên mua
45,Độ êm: êm Chất liệu: nhưa dẻo giao hàng nhanh đúng hẹn hình ảnh mang tính chất minh hoạ thui mình mua mấy đôi đều oek hết nhé,positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,độ êm êm chất liệu nhưa dẻo giao hàng nhanh đúng hẹn hình ảnh mang tính chất minh hoạ thui mình mua mấy đôi đều oek hết nhé
46,Độ êm: m Nhận hàng nhanh sip thân thiện màu đẹp hơn hình kiêu dáng phù hợp ko chê vào đâu được giá hợp lí mọi người lẻn mua,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,độ êm m nhận hàng nhanh sip thân thiện màu đẹp hơn hình kiêu dáng phù hợp ko chê vào đâu được giá hợp lí mọi người lẻn mua
47,"Độ êm: nhẹ êm thoải mái Chất liệu: cao su mềm dẻo đi êm thích lắm nha mềm dẻo êm chân nhỏ nhẹ đi trong nhà rất tiện Chào mừng bạn đến với bảng nhớ tạm của Gboard, bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây.Chạm và giữ một đoạn để ghim đoạn đó. Các đoạn đã bỏ ghim sẽ bị xóa sau 1 giờ.Nhấn vào một đoạn để dán vào hộp văn bản",positive,no_issue,yes,packaging,free_text_review,shopee_real_scraped,độ êm nhẹ êm thoải mái chất liệu cao su mềm dẻo đi êm thích lắm nha mềm dẻo êm chân nhỏ nhẹ đi trong nhà rất tiện chào mừng bạn đến với bảng nhớ tạm của gboard bất kỳ văn bản nào bạn sao chép sẽ được lưu tại đây chạm và giữ một đoạn để ghim đoạn đó các đoạn đã bỏ ghim sẽ bị xóa sau 1 giờ nhấn vào một đoạn để dán vào hộp văn bản
48,Dép xốp nhẹ tênh đi trong nhà rất ok mọi người nên mua nhá không có mùi. Mình chân 39 nhưng mua cỡ to 42-43 đi vẫn ok để đi tất mùa đông,positive,damaged_defective,no,,free_text_review,shopee_real_scraped,dép xốp nhẹ tênh đi trong nhà rất ok mọi người nên mua nhá không có mùi mình chân 39 nhưng mua cỡ to 42 43 đi vẫn ok để đi tất mùa đông
49,Màu sắc: ok Đúng với mô tả: đúq mô tả nhé Chất liệu: nhẹ chân mà êm nữa ak Mình đặt 2 lần đều ok nhe cả nhà. Đánh giá good,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,màu sắc ok đúng với mô tả đúq mô tả nhé chất liệu nhẹ chân mà êm nữa ak mình đặt 2 lần đều ok nhe cả nhà đánh giá good
50,Đúng với mô tả: đúng mô tả Chất liệu: nhựa Màu sắc: nâu Thấy mền chân. Đi êm. Mà k biewts có bám hay k. Đi trong nhà. Khá ổn,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,đúng với mô tả đúng mô tả chất liệu nhựa màu sắc nâu thấy mền chân đi êm mà k biewts có bám hay k đi trong nhà khá ổn
51,"Màu sắc: đen Mua 3 đôi rồi giờ quay lại mua thêm 3 đôi nữa, dép rẻ 20k đôi thôi. Giao hàng nhanh đóng gói cẩn thận",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,màu sắc đen mua 3 đôi rồi giờ quay lại mua thêm 3 đôi nữa dép rẻ 20k đôi thôi giao hàng nhanh đóng gói cẩn thận
52,Độ êm: dep nhẹ màu đẹp Chất liệu: nhựa mềm deo đi êm chân Màu sắc: đẹp Mẫu mã đung màu sắc đep dep nhẹ đi êm chan,positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,độ êm dep nhẹ màu đẹp chất liệu nhựa mềm deo đi êm chân màu sắc đẹp mẫu mã đung màu sắc đep dep nhẹ đi êm chan
53,"Màu sắc: nâu, Chất liệu: cao su Đúng với mô tả: đúng với mô tả, dép dễ đi , mềm k bị đau chân , đi lên nhìn chân bật tông😘😘😘😘",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,màu sắc nâu chất liệu cao su đúng với mô tả đúng với mô tả dép dễ đi mềm k bị đau chân đi lên nhìn chân bật tông
54,"Dép mang rất nhẹ, mền dẻo đi rất êm không đau chân.Size thì lớn hơn size chuẩn, loại này dành cho người có bàn chân mập ,tròn thích hợp hơn 👍👍👍",positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,dép mang rất nhẹ mền dẻo đi rất êm không đau chân size thì lớn hơn size chuẩn loại này dành cho người có bàn chân mập tròn thích hợp hơn
55,"Độ êm: nhe, em Chất liệu: nhua Màu sắc: den Dép siêu nhẹ, đi êm chân. Do làm bằng nhựa mềm nên độ ma sát ở đế dép ko đc nhiều như đối với dép nhựa cứng. Giá thành phù hợp. Nên mua",positive,no_issue,yes,damaged_defective,free_text_review,shopee_real_scraped,độ êm nhe em chất liệu nhua màu sắc den dép siêu nhẹ đi êm chân do làm bằng nhựa mềm nên độ ma sát ở đế dép ko đc nhiều như đối với dép nhựa cứng giá thành phù hợp nên mua
56,"Chất liệu: cao su đi nhẹ êm ok Màu sắc: trắng, ghi Nch is the one who wants it for me and the kids will have a good day at work today so we will have",positive,no_issue,yes,material_comfort,free_text_review,shopee_real_scraped,chất liệu cao su đi nhẹ êm ok màu sắc trắng ghi nch is the one who wants it for me and the kids will have a good day at work today so we will have
57,"Màu sắc: đúng vs mô tả Dép đi rất êm, ko dễ bị trượt tui mua màu đen size 38-39 rất vừa và đi thấy ok mn mua đi trg nhà cx ok ạ",positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,màu sắc đúng vs mô tả dép đi rất êm ko dễ bị trượt tui mua màu đen size 38 39 rất vừa và đi thấy ok mn mua đi trg nhà cx ok ạ
58,"Shop giao hàng nhanh đóng gói cẩn thận, giao đúng sản phẩm, giao đủ số lượng, hàng chất lượng mà giá cả phải chăng hợp lý, đáng mua nha mn",positive,no_issue,yes,shipping_delivery,free_text_review,shopee_real_scraped,shop giao hàng nhanh đóng gói cẩn thận giao đúng sản phẩm giao đủ số lượng hàng chất lượng mà giá cả phải chăng hợp lý đáng mua nha mn
59,"Độ êm: nhẹ, êm, hơi mảnh Chất liệu: cao su, dẻo Màu sắc: nâu Mang êm chân, vừa vặn, bề ngang chân mình hơi nhỏ nên mang khad thoải mái",positive,no_issue,yes,size_fit,free_text_review,shopee_real_scraped,độ êm nhẹ êm hơi mảnh chất liệu cao su dẻo màu sắc nâu mang êm chân vừa vặn bề ngang chân mình hơi nhỏ nên mang khad thoải mái
