page,review_text,cleaned_review,sentiment,issue
2,"Chất liệu: tốt Giao hàng nhanh, bao bì đóng gói ổn đã mua nhiều lần ở shop nên rất ưng ý sẽ ủng hộ tiếp nữa 0:14 5 le_thi_van",chất liệu tốt giao hàng nhanh bao bì đóng gói ổn đã mua nhiều lần ở shop nên rất ưng ý sẽ ủng hộ tiếp nữa,positive,no_issue
2,"Đúng với mô tả: đúng Chất liệu: mát Màu sắc: y hình Nhận hàng rất ưng. 1m68, 68kg, béo bụng, shop tư vấn XL. Rất vừa đẹp. Vote 5 sao, nên mua nhé cả nhà. Đường chỉ cẩn thận, vải chất lượng, mát, có dây rút, túi có khoá 8 1 2 3 4 5 Mã giảm giá của Shop Giảm 5k₫ Đơn Tối Thiểu 399k₫ Sắp hết hạn: Còn 6 giờ Lưu Top Sản Phẩm Nổi Bật Combo 2 quần đùi nam thể thao Guzado Cạp Chun,Vải Gió Thoáng Mát Vận Động Thoải Mái CB2GSR01 176.900 ₫ Bộ Quần Áo Nam GUZADO Thun Lạnh Cao Cấp, Set Chơi Pickleball, Tập Gym Co Giãn, Thoáng Khí GBP01 424.000 ₫ Áo Polo Nam GUZADO Cổ Bẻ Coolmax Thể Thao Co Giãn, Thấm Hút Cực Tốt Kiểu Dáng Basic PL01 209.000 ₫ [TẶNG TẤT] Áo Thun Thể Thao Nam GUZADO Coolmax Cao Cấp, Thấm Hút Mồ Hôi Tốt, Co Giãn Linh Hoạt GTS 159.000 ₫ [TẶNG TẤT]Áo Polo Nam Cao Cấp GUZADO Vải Cá Sấu Cotton Thoáng Khí, Sang Trọng Lịch Lãm, Dễ Phối Đồ GPL02 269.000 ₫ [TẶNG TẤT] Set 3 Quần Lót Tam Giác Nam GUZADO Vải Cotton Cao Cấp 2 Lớp Kháng Khuẩn,Co Giãn 4 Chiều GBF(CHE TÊN) 199.000 ₫ SET 3 Sịp Boxer Cotton Nam GUZADO 2 Lớp Kháng Khuẩn, Co Giãn, Thấm Hút Tốt, 4 Màu Basic GBX 158.900 ₫ Bộ Thể Thao Nam GUZADO Vải Coolmax Cao Cấp, Mềm Mát da, Co Giãn Tốt Tập Gym Mặc Nhà Thoải Mái GBT 309.000 ₫ DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2",đúng với mô tả đúng chất liệu mát màu sắc y hình nhận hàng rất ưng 1m68 68kg béo bụng shop tư vấn xl rất vừa đẹp vote 5 sao nên mua nhé cả nhà đường chỉ cẩn thận vải chất lượng mát có dây rút túi có khoá 8 1 2 3 4 5,positive,no_issue
3,"Thấm hút: thoáng mát, dễ chịu Vải: co giãn nhẹ, bền Màu sắc: chuẩn 👍 Sản phẩm nguyên vẹn. Đóng gói cẩn thận. Sản phẩm chất liệu tốt. Mặc thoải mái, dễ chịu. Không ra màu khi giặt. Body fit 👍 Săn sale livestream Shopee style nên voucher giá quá tốt! Giao hàng nhanh. Hài lòng! 👍💯📦 Sẽ mua lại khi săn đc sale 😆 0:11",thấm hút thoáng mát dễ chịu vải co giãn nhẹ bền màu sắc chuẩn sản phẩm nguyên vẹn đóng gói cẩn thận sản phẩm chất liệu tốt mặc thoải mái dễ chịu khong ra màu khi giặt body fit săn sale livestream shopee style nên voucher giá quá tốt giao hàng nhanh hài lòng sẽ mua lại khi săn duoc sale,positive,no_issue
3,Đúng với mô tả: đúng Chất liệu: vải gió Màu sắc: ghi và đen Lần đầu tiên mua đồ Nam trên shopee giá rẻ hơn rất nhiều so với mua ngoài shop shop giao hàng nhanh giá trên tem là 170 khi mua combo hai cái miễn phí ship chỉ có 147.000đ thật là rẻ quần xịn xò không có chỉ thừa thoáng mát Mua ở shop không có giá này chồng mặc vừa vặn đúng thông số 0:29 3 dc4oaw_zh1,đúng với mô tả đúng chất liệu vải gió màu sắc ghi và đen lần đầu tiên mua đồ nam trên shopee giá rẻ hơn rất nhiều so với mua ngoài shop shop giao hàng nhanh giá trên tem là 170 khi mua combo hai cái miễn phí ship chỉ có 147 000đ thật là rẻ quần xịn xò khong có chỉ thừa thoáng mát mua ở shop khong có giá này chồng mặc vừa vặn đúng thông số,positive,no_issue
3,"Màu sắc: đen, xám Chất liệu: vải Đúng với mô tả: đúng Shop đóng gói cẩn thận và giao hàng nhanh, quần chất liệu mềm mát và khá bền mk đã tin và sử dụng nhiều sản phẩm của shop mọi người nên mua nha 0:20 6 thspices",màu sắc đen xám chất liệu vải đúng với mô tả đúng shop đóng gói cẩn thận và giao hàng nhanh quần chất liệu mềm mát và khá bền mk đã tin và sử dụng nhiều sản phẩm của shop mọi người nên mua nha,positive,no_issue
3,"Màu sắc: den ghi vừa vặn, shop giao nhanh. Quần mặc thoải mái, 1 lớp, có khoá túi kéo tiện để điện thoại. Dây rút buộc trong không lo dãn chun 0:08 3 d*****0",màu sắc den ghi vừa vặn shop giao nhanh quần mặc thoải mái 1 lớp có khoá túi kéo tiện để điện thoại dây rút buộc trong khong lo dãn chun,positive,no_issue
3,"Mua cùng phân loại hàng mà có 2 cái là của hiệu Guzado, 2 cái là Mentoris. Nhưng dây kéo và chất vải của Mentoris tốt và mềm mịn giãn hơn. Mát hơn vải có mạc Guzado. Đã mua lần này là lần thứ 2. Lần trc cũng 4 quần mà củ Guzado hết. Mặc thấy ok nên mua típ 4 quần nữa 0:59 2 dtx95hd",mua cùng phân loại hàng mà có 2 cái là của hiệu guzado 2 cái là mentoris nhưng dây kéo và chất vải của mentoris tốt và mềm mịn giãn hơn mát hơn vải có mạc guzado đã mua lần này là lần thứ 2 lần trc cũng 4 quần mà củ guzado hết mặc thấy ok nên mua típ 4 quần nữa,positive,no_issue
3,"Xuất sắc nhé các bác. Chất liệu mỏng thoáng mát. Túi quần có khoá kéo, rộng rãi vừa điện thoại. Đường may, chun quần đẹp chắc chắn. Màu sắc đẹp như hình. Không phải cộc hẳn mà lửng lửng nhé nhìn lịch sự. Chồng mình 1m76 65kg vừa in 0:06 1 1 2 3 4 5 6 Mã giảm giá của Shop Giảm 5k₫ Đơn Tối Thiểu 399k₫ Sắp hết hạn: Còn 6 giờ Lưu Top Sản Phẩm Nổi Bật Combo 2 quần đùi nam thể thao Guzado Cạp Chun,Vải Gió Thoáng Mát Vận Động Thoải Mái CB2GSR01 176.900 ₫ Bộ Quần Áo Nam GUZADO Thun Lạnh Cao Cấp, Set Chơi Pickleball, Tập Gym Co Giãn, Thoáng Khí GBP01 424.000 ₫ Áo Polo Nam GUZADO Cổ Bẻ Coolmax Thể Thao Co Giãn, Thấm Hút Cực Tốt Kiểu Dáng Basic PL01 209.000 ₫ [TẶNG TẤT] Áo Thun Thể Thao Nam GUZADO Coolmax Cao Cấp, Thấm Hút Mồ Hôi Tốt, Co Giãn Linh Hoạt GTS 159.000 ₫ [TẶNG TẤT]Áo Polo Nam Cao Cấp GUZADO Vải Cá Sấu Cotton Thoáng Khí, Sang Trọng Lịch Lãm, Dễ Phối Đồ GPL02 269.000 ₫ [TẶNG TẤT] Set 3 Quần Lót Tam Giác Nam GUZADO Vải Cotton Cao Cấp 2 Lớp Kháng Khuẩn,Co Giãn 4 Chiều GBF(CHE TÊN) 199.000 ₫ SET 3 Sịp Boxer Cotton Nam GUZADO 2 Lớp Kháng Khuẩn, Co Giãn, Thấm Hút Tốt, 4 Màu Basic GBX 158.900 ₫ Bộ Thể Thao Nam GUZADO Vải Coolmax Cao Cấp, Mềm Mát da, Co Giãn Tốt Tập Gym Mặc Nhà Thoải Mái GBT 309.000 ₫ DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2",xuất sắc nhé các bác chất liệu mỏng thoáng mát túi quần có khoá kéo rộng rãi vừa điện thoại đường may chun quần đẹp chắc chắn màu sắc đẹp như hình khong phải cộc hẳn mà lửng lửng nhé nhìn lịch sự chồng mình 1m76 65kg vừa in,positive,no_issue
4,"Quần ok, vải gió, k co giãn, mặc chắc mát, vải này khá bền. Size vừa vặn. Giá cũng ổn. Giao hàng nhanh, đc tặng thêm 1 đôi tất chân 0:12 3 trangthune",quần ok vải gió khong co giãn mặc chắc mát vải này khá bền size vừa vặn giá cũng ổn giao hàng nhanh duoc tặng thêm 1 đôi tất chân,positive,no_issue
4,"Chất liệu: mats Màu sắc: đen+ chì Đúng với mô tả: đúng Chất vải mát, form quần đẹp, rất xứng đáng với giá tiền. Sẽ ủng hộ shop nhiều lần 0:34 3 myd9u754ly",chất liệu mats màu sắc đen chì đúng với mô tả đúng chất vải mát form quần đẹp rất xứng đáng với giá tiền sẽ ủng hộ shop nhiều lần,positive,no_issue
4,Chất liệu: tốt Đúng với mô tả: vừa vặn Màu sắc: đẹp Hàng chất lượng mặc mát dễ chịu rất thoải mái lên mua vừa với giá tiền 0:14 1 myhanhhv,chất liệu tốt đúng với mô tả vừa vặn màu sắc đẹp hàng chất lượng mặc mát dễ chịu rất thoải mái lên mua vừa với giá tiền,positive,no_issue
4,"Đúng với mô tả: good Màu sắc: đúng màu trên ảnh nhé Chất liệu: vải gió giãn Quần chất đẹp, mát, co giãn. Mặc vừa rất thích. Đã mua lại lần 2 0:05 2 6vas9zvep8",đúng với mô tả good màu sắc đúng màu trên ảnh nhé chất liệu vải gió giãn quần chất đẹp mát co giãn mặc vừa rất thích đã mua lại lần 2,positive,no_issue
4,"Vải mát mặc mùa hè ok combo 2 quần màu đen cộc nam mặc thích sờ vải mát Mua lần đầu, lần sau đẹp mặc ok lại ủng hộ tiếp 0:11 2 vuongthinghia97",vải mát mặc mùa hè ok combo 2 quần màu đen cộc nam mặc thích sờ vải mát mua lần đầu lần sau đẹp mặc ok lại ủng hộ tiếp,positive,no_issue
4,"Chất liệu: meem mat Đúng với mô tả: dúng Màu sắc: xanh than Chất lượng tốt, săn được giá rẻ lắm. Shop tl nhiệt tình, giao hàng nhanh. Đáng mua nhé. Lần sau mjk sẽ ủng hộ 0:28",chất liệu meem mat đúng với mô tả dúng màu sắc xanh than chất lượng tốt săn duoc giá rẻ lắm shop tl nhiệt tình giao hàng nhanh đáng mua nhé lần sau mjk sẽ ủng hộ,positive,no_issue
5,"Chất liệu: vải gió Màu sắc: đen, xanh than Đúng với mô tả: đúng theo hình ảnh Mới mua lần đầu nhưng sản pham củng khá chat luong 0:13 2 14.12ngocphu",chất liệu vải gió màu sắc đen xanh than đúng với mô tả đúng theo hình ảnh mới mua lần đầu nhưng sản pham củng khá chat luong,positive,no_issue
5,Màu sắc: mâu sắc đúng mô tả chất vài tốt và mát Chất liệu: thun lạnh Hàng Việt Nam chất lượng cao khỏi phải lo lắng về vấn đề này. Tôi đã mua rất nhiều lần 0:15,màu sắc mâu sắc đúng mô tả chất vài tốt và mát chất liệu thun lạnh hàng việt nam chất lượng cao khỏi phải lo lắng về vấn đề này tôi đã mua rất nhiều lần,positive,no_issue
5,"Sản phẩm rất chất lượng, đáng giá với giá tiền. Giao hàng nhanh chóng và đóng gói sản phẩm cẩn thận. Chất lượng sản phẩm vượt xa mong đợi của tôi, rất hài lòng. 0:25 2 v*****9",sản phẩm rất chất lượng đáng giá với giá tiền giao hàng nhanh chóng và đóng gói sản phẩm cẩn thận chất lượng sản phẩm vượt xa mong đợi của tôi rất hài lòng,positive,no_issue
5,Màu sắc: ok Đúng với mô tả: ok Chất liệu: mềm Shop giao hàng nhanh mà đóng gói cẩn thận. Quần thì đường may rất cẩn thận. Nói chung là săn sale với cái giá rẻ như thế mà quần thì quá chất lượng 0:13 1 r*****2,màu sắc ok đúng với mô tả ok chất liệu mềm shop giao hàng nhanh mà đóng gói cẩn thận quần thì đường may rất cẩn thận nói chung là săn sale với cái giá rẻ như thế mà quần thì quá chất lượng,positive,no_issue
5,"Màu sắc: đen , ghi Chất liệu: mát Quần chất mát, đóng gói chỉnh chu, đẹp bạn mình thấy đẹp nên xin link để mua cho bố 0:13 1 d*****0",màu sắc đen ghi chất liệu mát quần chất mát đóng gói chỉnh chu đẹp bạn mình thấy đẹp nên xin link để mua cho bố,positive,no_issue
5,"Quần mặt vừa size cao 1m77 nặng 75kg nha. Mặt vải mát mịn. Giặt mấy lần rồi túi quần không bị rách. Túi nào cũng có dây kéo. Co giãn nhẹ. Ck mình rất thít vải quần này. Đang tính mua thêm. Nên mua nha bà kon 0:57 1 1 2 3 4 5 6 7 Mã giảm giá của Shop Giảm 5k₫ Đơn Tối Thiểu 399k₫ Sắp hết hạn: Còn 6 giờ Lưu Top Sản Phẩm Nổi Bật Combo 2 quần đùi nam thể thao Guzado Cạp Chun,Vải Gió Thoáng Mát Vận Động Thoải Mái CB2GSR01 176.900 ₫ Bộ Quần Áo Nam GUZADO Thun Lạnh Cao Cấp, Set Chơi Pickleball, Tập Gym Co Giãn, Thoáng Khí GBP01 424.000 ₫ Áo Polo Nam GUZADO Cổ Bẻ Coolmax Thể Thao Co Giãn, Thấm Hút Cực Tốt Kiểu Dáng Basic PL01 209.000 ₫ [TẶNG TẤT] Áo Thun Thể Thao Nam GUZADO Coolmax Cao Cấp, Thấm Hút Mồ Hôi Tốt, Co Giãn Linh Hoạt GTS 159.000 ₫ [TẶNG TẤT]Áo Polo Nam Cao Cấp GUZADO Vải Cá Sấu Cotton Thoáng Khí, Sang Trọng Lịch Lãm, Dễ Phối Đồ GPL02 269.000 ₫ [TẶNG TẤT] Set 3 Quần Lót Tam Giác Nam GUZADO Vải Cotton Cao Cấp 2 Lớp Kháng Khuẩn,Co Giãn 4 Chiều GBF(CHE TÊN) 199.000 ₫ SET 3 Sịp Boxer Cotton Nam GUZADO 2 Lớp Kháng Khuẩn, Co Giãn, Thấm Hút Tốt, 4 Màu Basic GBX 158.900 ₫ Bộ Thể Thao Nam GUZADO Vải Coolmax Cao Cấp, Mềm Mát da, Co Giãn Tốt Tập Gym Mặc Nhà Thoải Mái GBT 309.000 ₫ DỊCH VỤ KHÁCH HÀNG Trung Tâm Trợ Giúp Shopee Shopee Blog Shopee Mall Hướng Dẫn Mua Hàng/Đặt Hàng Hướng Dẫn Bán Hàng Ví ShopeePay Shopee Xu Đơn Hàng Trả Hàng/Hoàn Tiền Liên Hệ Shopee Chính Sách Bảo Hành SHOPEE VIỆT NAM Về Shopee Tuyển Dụng Điều Khoản Shopee Chính Sách Bảo Mật Shopee Mall Kênh Người Bán Flash Sale Tiếp Thị Liên Kết Liên Hệ Truyền Thông THANH TOÁN ĐƠN VỊ VẬN CHUYỂN THEO DÕI SHOPEE Facebook Instagram LinkedIn TẢI ỨNG DỤNG SHOPEE © 2026 Shopee. Tất cả các quyền được bảo lưu. Quốc gia & Khu vực: Argentina Singapore Indonesia Thái Lan Malaysia Việt Nam Philippines Brazil México Đài Loan CHÍNH SÁCH BẢO MẬT QUY CHẾ HOẠT ĐỘNG CHÍNH SÁCH VẬN CHUYỂN CHÍNH SÁCH TRẢ HÀNG VÀ HOÀN TIỀN Công ty TNHH Shopee Địa chỉ: Tầng 4-5-6, Tòa nhà Capital Place, số 29 đường Liễu Giai, Phường Ngọc Hà, Thành phố Hà Nội, Việt Nam Chăm sóc khách hàng: Gọi tổng đài Shopee (miễn phí) hoặc Trò chuyện với Shopee ngay trên Trung tâm trợ giúp Chịu Trách Nhiệm Quản Lý Nội Dung: Nguyễn Bùi Anh Tuấn Mã số doanh nghiệp: 0106773786 do Sở Kế hoạch và Đầu tư TP Hà Nội cấp lần đầu ngày 10/02/2015 © 2015 - Bản quyền thuộc về Công ty TNHH Shopee 2",quần mặt vừa size cao 1m77 nặng 75kg nha mặt vải mát mịn giặt mấy lần rồi túi quần khong bị rách túi nào cũng có dây kéo co giãn nhẹ ck mình rất thít vải quần này đang tính mua thêm nên mua nha bà kon,positive,no_issue
6,"Màu sắc: đen, ghi Đúng với mô tả: đúng size tư vấn Chất liệu: 92% polyester 8% spandex Cao m72, nặng 68kg shop tư vấn sz XL, khuyeen moij ng mua rộng hơn xíu cho thoải mái. Chất vải phù hợp với giá tiền, 0:40 1 t*****3",màu sắc đen ghi đúng với mô tả đúng size tư vấn chất liệu 92 polyester 8 spandex cao m72 nặng 68kg shop tư vấn sz xl khuyeen moij ng mua rộng hơn xíu cho thoải mái chất vải phù hợp với giá tiền,neutral,no_issue
